name,address,city,state,zip,phone,website,category,description,latitude,longitude,business_card
"Altman Bail Bonds, Inc.",801 West Main Street,Tavares,FL,32778,(352) 636-5311,https://altmanbail.com/,,,28.802218,-81.736038,assets/images/business-cards/altman-bail-bonds-inc.jpg
Puddle Jumpers,111 West Ruby Street,Tavares,FL,32778,(352) 508-5862,https://www.puddlejumperslakeside.com/,,,28.801048,-81.728327,assets/images/business-cards/puddle-jumpers.jpg
"Peralta & Dvoran, PA",416 West Caroline Street,Tavares,FL,32778,(352) 434-0075,https://www.peraltaanddvoran.com/,,,28.805348,-81.731882,assets/images/business-cards/peralta-dvoran-pa.jpg
Infinity Financial Group,383 West Alfred Street,Tavares,FL,32778,(516) 398-3134,https://www.ifgfl.com/,,,28.80401,-81.73063,assets/images/business-cards/infinity-financial-group.jpg
Belton Bail Bonds,525 West Main Street,Tavares,FL,32778,(352) 516-6030,https://www.beltonbailbonds.com/,,,28.80195,-81.731941,assets/images/business-cards/belton-bail-bonds.jpg
Community Health Centers,110 South Woodland Street,Winter Garden,FL,34787,(407) 905-8827,https://www.CHCfl.com/,,,28.564618,-81.584949,assets/images/business-cards/community-health-centers.jpg
Atwater Apartments,"16554 Cagan Crossings Boulevard, Suite 4",Clermont,FL,34714,(352) 404-7903,https://www.cagan.com/,,,28.353917,-81.67978,assets/images/business-cards/atwater-apartments.jpg
Dennie and The Jets,117 East Main Street,Tavares,FL,32778,(407) 310-3294,https://www.atwatertavares.com/,,,28.802627,-81.727417,assets/images/business-cards/dennie-and-the-jets.jpg
"DA Construction, Inc",1025 Bay Road,Mount Dora,FL,32757,(352) 602-4385,https://www.dabuilds.net/,,,28.80441,-81.68762,assets/images/business-cards/da-construction-inc.jpg
UF Health,"701 North Palmetto Street, Suite F",Leesburg,FL,34748,(352) 322-0504,https://www.ufhealth.org/,,,28.817901,-81.8757,assets/images/business-cards/uf-health.jpg
Magical Meat Boutique,3725 West Old US Highway 441,Mount Dora,FL,32757,(706) 297-8780,https://mmbpub.com/,,,28.805911,-81.681927,assets/images/business-cards/magical-meat-boutique.jpg
South State Bank,33749 Secret Hill Drive,Leesburg,FL,34788,(352) 508-1029,https://www.southstatebank.com/,,,28.841302,-81.780655,assets/images/business-cards/south-state-bank.jpg
"Deas Consulting, LLC",385 West Alfred Street,Tavares,FL,32778,(352) 406-1264,https://deas.consulting/,,,28.80403,-81.73063,assets/images/business-cards/deas-consulting-llc.jpg
Bru Tap House,143 East Main Street,Tavares,FL,32778,(352) 508-9321,https://www.brutaphouse.com/,,,28.802627,-81.727417,assets/images/business-cards/bru-incorporated.jpg
San Jose's Mexican Restaurant,1990 State Road 19,Tavares,FL,32778,(352) 609-2243,https://www.sanjosesoriginal.com/,,,28.78527,-81.75076,assets/images/business-cards/san-joses-mexican-restaurant.jpg
Auto Ride Customs II,29317 County Road 561,Tavares,FL,32778,(407) 462-8443,https://www.autoridecustoms.com/,,,28.772923,-81.740722,assets/images/business-cards/auto-ride-customs-ii.jpg
Prestige Ford,17701 Highway 441,Mount Dora,FL,32757,(352) 357-5522,https://www.prestigefordmtdora.com/,,,28.823304,-81.663746,assets/images/business-cards/prestige-ford.jpg
Cousin Vinnie's Family Restaurant,10700 US Highway 441,Leesburg,FL,34788,(352) 253-2442,https://www.cvinnies.com/,,,28.820331,-81.780126,assets/images/business-cards/cousin-vinnies-family-restaurant.jpg
Jorden Hayes Chrysler Jeep,3401 US Highway 441/27,Fruitland Park,FL,34731,(352) 805-4831,https://www.cdjrofleesburg.com/,,,28.847098,-81.897945,assets/images/business-cards/jorden-hayes-chrysler-jeep.jpg
Tavares Village,1501 Sunshine Parkway,Tavares,FL,32778,(352) 742-7111,https://www.tavaresvillage.com/,,,28.788221,-81.762238,assets/images/business-cards/tavares-village.jpg
Cousins Kolaches,359 E Burleigh Blvd,Tavares,FL,32778,(352) 446-1343,https://cousinskolaches.com/,,,28.81728,-81.72622,assets/images/business-cards/cousins-kolaches.jpg
Tom Dolan Inspections,939 Dora Avenue,Tavares,FL,32778,(352) 764-7473,https://www.dolaninspections.com/,,,28.810651,-81.717488,assets/images/business-cards/tom-dolan-inspections.jpg
Titan Roofing,"450 East Highway 50, Suite 3",Clermont,FL,34711,(352) 721-0398,https://www.titanroofingprofessionals.com/,,,28.550759,-81.75049,assets/images/business-cards/titan-roofing.jpg
Compass Self Storage,2601 State Road 19,Tavares,FL,32778,(352) 720-0338,https://www.compassselfstorage.com/self-storage/fl/tavares/state-rt-19/,,,28.778015,-81.746935,assets/images/business-cards/compass-self-storage.jpg
AdventHealth Centra Care,"2600 Westhall Lane, 3rd Floor",Maitland,FL,32751,(407) 756-8235,https://www.adventhealth.com/,,,28.636291,-81.39621,assets/images/business-cards/adventhealth-centra-care.jpg
Tavadora Apartments,1403 E Alfred St,Tavares,FL,32778,(352) 343-6950,https://www.tavadora.com/,,,28.80428,-81.71297,assets/images/business-cards/tavadora-apartments.jpg
Symons AC & Heating Inc,"31116 Fairview Avenue, Suite A",Tavares,FL,32778,(352) 589-4711,https://www.symonsac.com/,,,28.802792,-81.693214,assets/images/business-cards/symons-ac-heating-inc.jpg
Central Lakes Realty,113 North Main Street,Tavares,FL,32778,(352) 901-5522,https://www.centrallakesrealty.com/,,,28.803000,-81.728000,assets/images/business-cards/central-lakes-realty.jpg
